"player_id","player_name","position","team","week","n_simulations","mean","median","floor","ceiling","p15","p85","probability_zero","probability_active","active_mean","active_p15","active_p85"
"SadiKe00","Kenyon Sadiq","TE","NYJ",1,100,8.326,6.375,1.835,14.5,1.835,14.5,0.05,1,8.326,1.835,14.5
"LloyMa00","MarShawn Lloyd","RB","GB",1,100,8.243,7.75,2.155,14,2.155,14,0.01,1,8.243,2.155,14
"MoorDJ00","DJ Moore","WR","BUF",1,100,8.179,6.25,1.77,16.1,1.77,16.1,0.04,1,8.179,1.77,16.1
"BryaPa00","Pat Bryant","WR","DEN",1,100,8.1116,6.4,1.525,15.315,1.525,15.315,0.07,1,8.1116,1.525,15.315
"DotsJa00","Jahan Dotson","WR","ATL",1,100,8.1096,6.2,1.57,16.39,1.57,16.39,0.07,1,8.1096,1.57,16.39
"BostDe00","Denzel Boston","WR","CLE",1,100,8.067,6.4,2.485,14.375,2.485,14.375,0.05,1,8.067,2.485,14.375
"DiggSt00","Stefon Diggs","WR","WAS",1,100,8.045,6.1,2.17,15.5,2.17,15.5,0.04,1,8.045,2.17,15.5
"AlleKe00","Keenan Allen","WR","IND",1,100,7.896,6.1,1.97,14.435,1.97,14.435,0.03,1,7.896,1.97,14.435
"JennJa00","Jauan Jennings","WR","MIN",1,100,7.877,5.8,1.185,15.62,1.185,15.62,0.11,1,7.877,1.185,15.62
"RicaPa00","Patrick Ricard","RB","NYG",1,100,7.869,6.4,1.3,14.26,1.3,14.26,0.01,1,7.869,1.3,14.26
"StraBr00","Brenton Strange","TE","JAX",1,100,7.854,7.075,2.19,12.63,2.19,12.63,0.04,1,7.854,2.19,12.63
"DownJo00","Josh Downs","WR","IND",1,100,7.8454,6.3,2,13.9,2,13.9,0.03,1,7.8454,2,13.9
"MitcAd00","Adonai Mitchell","WR","NYJ",1,100,7.829,5.45,0.2,16.045,0.2,16.045,0.14,1,7.829,0.2,16.045
"GoreFr01","Frank Gore Jr.","RB","BUF",1,100,7.824,6.25,1.385,13.58,1.385,13.58,0.01,1,7.824,1.385,13.58
"MimsMa00","Marvin Mims Jr.","WR","DEN",1,100,7.8,5.65,1.785,14.4,1.785,14.4,0.04,1,7.8,1.785,14.4
"HuntTr00","Travis Hunter","WR","JAX",1,100,7.7712,4.95,1.3,16.215,1.3,16.215,0.1,1,7.7712,1.3,16.215
"StriDe00","De'Zhaun Stribling","WR","SF",1,100,7.761,6.8,2.2,12.765,2.2,12.765,0.03,1,7.761,2.2,12.765
"CoopOm00","Omar Cooper Jr.","WR","NYJ",1,100,7.75,5.6,1.77,15.21,1.77,15.21,0.05,1,7.75,1.77,15.21
"HuntJa02","Jarquez Hunter","RB","MIA",1,100,7.704,5.6,1.3,17.1,1.3,17.1,0.04,1,7.704,1.3,17.1
"BernGe00","Germie Bernard","WR","PIT",1,100,7.603,5.3,0.9,13.9,0.9,13.9,0.12,1,7.603,0.9,13.9
"JeudJe00","Jerry Jeudy","WR","CLE",1,100,7.5972,6.5,1.785,13.475,1.785,13.475,0.03,1,7.5972,1.785,13.475
"HockTJ00","T.J. Hockenson","TE","MIN",1,100,7.558,7.05,1.65,15.3725,1.65,15.3725,0.06,1,7.558,1.65,15.3725
"DougCa00","Caleb Douglas","WR","MIA",1,100,7.514,5.95,2.14,13.93,2.14,13.93,0.03,1,7.514,2.14,13.93
